sample	file1	file2	group	rep_no
D39_lac_1	D39_lac_1_R1.fastq.gz	D39_lac_1_R2.fastq.gz	Lactose_120	1
D39_lac_2	D39_lac_2_R1.fastq.gz	D39_lac_2_R2.fastq.gz	Lactose_120	2
D39_lac_3	D39_lac_3_R1.fastq.gz	D39_lac_3_R2.fastq.gz	Lactose_120	3
D39_lac_4	D39_lac_4_R1.fastq.gz	D39_lac_4_R2.fastq.gz	Lactose_400	1
D39_lac_5	D39_lac_5_R1.fastq.gz	D39_lac_5_R2.fastq.gz	Lactose_400	2
D39_lac_6	D39_lac_6_R1.fastq.gz	D39_lac_6_R2.fastq.gz	Lactose_400	3
D39_LNnT_7	D39_LNnT_7_R1.fastq.gz	D39_LNnT_7_R2.fastq.gz	LNnT_120	1
D39_LNnT_8	D39_LNnT_8_R1.fastq.gz	D39_LNnT_8_R2.fastq.gz	LNnT_120	2
D39_LNnT_9	D39_LNnT_9_R1.fastq.gz	D39_LNnT_9_R2.fastq.gz	LNnT_120	3
D39_LNnT_10	D39_LNnT_10_R1.fastq.gz	D39_LNnT_10_R2.fastq.gz	LNnT_400	1
D39_LNnT_11	D39_LNnT_11_R1.fastq.gz	D39_LNnT_11_R2.fastq.gz	LNnT_400	2
D39_LNnT_12	D39_LNnT_12_R1.fastq.gz	D39_LNnT_12_R2.fastq.gz	LNnT_400	3
D39_6SL_13	D39_6SL_13_R1.fastq.gz	D39_6SL_13_R2.fastq.gz	6SL_120	1
D39_6SL_14	D39_6SL_14_R1.fastq.gz	D39_6SL_14_R2.fastq.gz	6SL_120	2
D39_6SL_15	D39_6SL_15_R1.fastq.gz	D39_6SL_15_R2.fastq.gz	6SL_120	3
D39_6SL_16	D39_6SL_16_R1.fastq.gz	D39_6SL_16_R2.fastq.gz	6SL_400	1
D39_6SL_17	D39_6SL_17_R1.fastq.gz	D39_6SL_17_R2.fastq.gz	6SL_400	2
D39_6SL_18	D39_6SL_18_R1.fastq.gz	D39_6SL_18_R2.fastq.gz	6SL_400	3
