seqid,start,end,strand,locus_tag,gene_id,gene_name,product,pathway
CP027540.1,1,1362,+,SPV_0001,dnaA,AVN85189.1,Chromosomal replication initiator protein DnaA,heat_shock
CP027540.1,1521,2657,+,SPV_0002,dnaN,AVN85190.1,DNA polymerase III beta subunit,heat_shock
CP027540.1,12174,14132,+,SPV_0013,ftsH,AVN85201.1,Cell division protein FtsH,heat_shock
CP027540.1,14254,14733,+,SPV_0014,comX1,AVN85202.1,Competence-specific sigma factor ComX,natural_competence
CP027540.1,22168,22404,+,SPV_0023,comW,AVN85203.1,Competence positive regulator ComW,natural_competence
CP027540.1,41902,44055,+,SPV_0049,comA,AVN85222.1,Competence-stimulating peptide ABC transporter ATP-binding protein ComA,natural_competence
CP027540.1,44068,45417,+,SPV_0050,comB,AVN85223.1,Competence-stimulating peptide ABC transporter permease protein ComB,natural_competence
CP027540.1,60528,64466,-,SPV_0063,strH,AVN85236.1,Beta-hexosaminidase StrH,C_amino_sugar_Nglycans
CP027540.1,64781,65524,-,SPV_0064,cpsR,AVN85237.1,Transcriptional regulator%2C GntR family,C_capsule
CP027540.1,65845,67632,+,SPV_0065,bgaC,AVN85238.1,Beta-galactosidase,C_amino_sugar_Nglycans
CP027540.1,67629,68105,+,SPV_0066,gadV,AVN85239.1,Galactosamine-specific PTS IIB component,Transporters
CP027540.1,68133,69038,+,SPV_0067,gadW,AVN85240.1,Galactosamine-specific PTS IIC component,Transporters
CP027540.1,69025,69840,+,SPV_0068,gadE,AVN85241.1,Galactosamine-specific PTS IID component,Transporters
CP027540.1,69913,70251,+,SPV_0069,gadF,AVN85242.1,Galactosamine-specific PTS IIA component,Transporters
CP027540.1,71832,72869,+,SPV_0071,galM,AVN85244.1,Aldose 1-epimerase,Leloir_Tagatose
CP027540.1,88263,89192,+,SPV_0088,cds-AVN85260.1,AVN85260.1,Multiple sugar ABC transporter%2C membrane-spanning permease protein,Transporters
CP027540.1,89206,90129,+,SPV_0089,cds-AVN85261.1,AVN85261.1,ABC transporter permease protein,Transporters
CP027540.1,90387,91862,+,SPV_0090,cds-AVN85262.1,AVN85262.1,ABC transporter substrate-binding protein,Transporters
CP027540.1,109776,110972,+,SPV_0110,argG,AVN85281.1,Argininosuccinate synthase,C_arginine
CP027540.1,111001,112392,+,SPV_0111,argH,AVN85282.1,Argininosuccinate lyase,C_arginine
CP027540.1,112681,113544,-,SPV_0112,rtgR,AVN85283.1,Transcriptional regulator of rtg locus,peptide_signaling
CP027540.1,113770,113814,+,SPV_2467,rtgS1,USH90072.1,Pheromone in Rtg/SHP-like quorum-sensing system RtgR/RtgS,peptide_signaling
CP027540.1,116222,116689,+,SPV_0114,rtgX,AVN85284.1,(Putative) GyrI-like protein,peptide_signaling
CP027540.1,116686,118038,+,SPV_0115,rtgB,AVN85285.1,(Putative) RtgA transporter accessory protein,peptide_signaling
CP027540.1,118184,118564,+,SPV_0116,rtgC,AVN85286.1,Double-glycine peptide transported by RtgAB,peptide_signaling
CP027540.1,119733,119777,+,SPV_2470,rtgS2,USH90075.1,Pheromone in Rtg/SHP-like quorum-sensing system RtgR/RtgS,peptide_signaling
CP027540.1,119812,119976,+,SPV_2099,rtgH,AVN85287.1,Protein in rtg locus (putative),peptide_signaling
CP027540.1,120144,120515,+,SPV_0117,rtgK,AVN85288.1,(Putative) Double-glycine containing bacteriocin precursor peptide,peptide_signaling
CP027540.1,120523,120735,+,SPV_2100,rtgL,AVN85289.1,Protein in rtg locus (putative),peptide_signaling
CP027540.1,121109,121234,+,SPV_0118,cds-AVN85290.1,AVN85290.1,Hypothetical protein,peptide_signaling
CP027540.1,121540,122598,+,SPV_0119,rtgP,AVN85292.1,(Putative) Integral membrane protein,peptide_signaling
CP027540.1,122912,123889,+,SPV_0120,rtgQ,AVN85293.1,(Putative) Integral membrane protein,peptide_signaling
CP027540.1,124266,124640,+,SPV_0121,rtgT,AVN85294.1,(Putative) Double-glycine containing bacteriocin precursor peptide,peptide_signaling
CP027540.1,124647,124829,+,SPV_2102,rtgU,AVN85295.1,Protein in rtg locus (putative),peptide_signaling
CP027540.1,124848,125750,+,SPV_0122,rtgY1,AVN85296.1,(Putative) Integral membrane protein,peptide_signaling
CP027540.1,125806,126159,+,SPV_0123,rtgW1,AVN85297.1,(Putative) Double-glycine containing bacteriocin precursor peptide,peptide_signaling
CP027540.1,126156,126884,+,SPV_0124,rtgZ1,AVN85298.1,(Putative) Integral membrane protein,peptide_signaling
CP027540.1,127363,127560,+,SPV_2103,rtgD2,AVN85299.1,Pyridoxamine 5'-phosphate oxidase,peptide_signaling
CP027540.1,128812,130671,+,SPV_0126,pspA,AVN85301.1,Surface protein PspA precursor,peptide_signaling
CP027540.1,139021,139458,+,SPV_0135,rimI,AVN85312.1,Ribosomal-protein-S18p-alanine acetyltransferase,CRISPRi_hits
CP027540.1,149955,150818,+,SPV_0144,mutR1,AVN85320.1,Rgg family transcriptional regulator in Rgg144/SHP144 quorum-sensing system,peptide_signaling
